cut_in_speed,wind_curve_V0,wind_curve_b,powerScale,error_percent,error_abs,kde_error
2.629,6.458,1.166,0.819,78.0,46291.0,946.0
2.998,7.75,1.072,0.956,78.0,46311.0,759.0
3.837,7.202,0.354,0.971,78.5,46596.0,805.0
2.366,7.728,1.049,0.926,78.6,46638.0,757.0
3.556,7.722,1.111,0.962,78.7,46720.0,773.0
3.328,7.62,0.592,0.927,78.7,46721.0,689.0
2.553,6.198,0.245,0.893,78.9,46818.0,1000.0
2.143,6.753,0.328,0.905,79.0,46861.0,860.0
3.571,7.043,0.518,0.897,79.0,46872.0,762.0
3.03,6.626,0.577,0.877,79.0,46878.0,827.0
2.023,6.717,0.628,0.867,79.1,46929.0,806.0
3.862,5.749,0.344,0.852,79.1,46933.0,997.0
2.989,6.132,0.373,0.872,79.1,46945.0,929.0
2.078,7.84,0.312,0.985,79.1,46945.0,755.0
3.794,6.649,0.375,0.89,79.1,46951.0,853.0
3.938,5.281,0.293,0.859,79.3,47072.0,1076.0
2.932,6.835,0.92,0.842,79.3,47079.0,829.0
2.812,7.671,1.109,0.956,80.1,47514.0,779.0
3.492,8.012,0.994,0.976,80.1,47526.0,736.0
3.404,3.288,0.222,0.81,80.1,47559.0,1279.0
2.768,6.865,0.259,0.935,80.4,47701.0,915.0
3.277,6.883,0.453,0.881,80.4,47711.0,792.0
3.823,6.801,1.07,0.834,80.6,47812.0,865.0
3.375,7.025,0.569,0.89,80.8,47958.0,761.0
3.868,3.989,0.285,0.809,81.0,48055.0,1212.0
3.514,6.652,0.764,0.849,81.1,48150.0,847.0
2.294,6.095,0.715,0.817,81.1,48155.0,941.0
2.528,6.768,0.98,0.836,81.2,48159.0,848.0
3.519,7.001,0.33,0.935,81.2,48173.0,844.0
2.058,7.228,1.053,0.882,81.3,48222.0,804.0
3.946,6.04,0.303,0.907,81.3,48230.0,976.0
3.147,5.985,0.667,0.825,81.4,48280.0,960.0
2.17,7.183,0.85,0.901,81.4,48317.0,768.0
3.468,7.948,0.863,0.991,81.6,48397.0,714.0
2.777,7.58,1.018,0.971,82.1,48740.0,774.0
2.276,7.175,1.01,0.906,82.3,48837.0,804.0
2.746,6.145,0.912,0.8,82.3,48862.0,965.0
2.557,4.368,0.274,0.807,82.4,48874.0,1190.0
3.454,7.014,0.658,0.918,82.5,48980.0,773.0
2.808,7.734,0.399,0.977,82.6,48994.0,717.0
3.931,7.013,0.38,0.948,82.6,49026.0,821.0
2.063,7.501,0.672,0.945,82.7,49079.0,709.0
2.962,7.078,0.774,0.909,83.0,49228.0,775.0
2.199,6.799,0.444,0.908,83.2,49359.0,796.0
2.827,5.072,0.38,0.803,83.5,49568.0,1081.0
3.818,7.347,0.586,0.948,83.6,49613.0,744.0
3.975,6.489,0.771,0.848,83.7,49691.0,882.0
3.64,6.493,0.748,0.841,83.8,49703.0,875.0
3.592,6.635,1.022,0.872,83.8,49734.0,884.0
3.101,5.056,0.278,0.876,84.0,49824.0,1106.0
3.903,4.382,0.352,0.817,84.1,49913.0,1161.0
3.954,6.107,0.527,0.844,84.1,49918.0,922.0
2.524,7.053,0.843,0.891,84.2,49941.0,790.0
3.14,7.225,0.461,0.952,84.2,49979.0,755.0
2.701,7.047,0.863,0.908,84.4,50069.0,796.0
3.689,6.074,1.109,0.818,84.6,50198.0,1012.0
3.008,6.568,0.903,0.863,84.6,50204.0,875.0
2.499,6.641,1.161,0.866,84.6,50229.0,902.0
2.52,7.842,1.13,0.976,84.6,50233.0,792.0
