cut_in_speed,wind_curve_V0,wind_curve_b,powerScale,error_percent,error_abs,kde_error
2.61,6.932,0.468,0.965,19.2,130169.0,209.0
2.779,8.433,0.809,0.976,-19.2,130313.0,168.0
2.16,7.026,0.275,0.966,19.4,131056.0,483.0
2.843,7.962,0.63,0.83,-19.4,131131.0,104.0
2.111,5.815,0.34,0.824,19.5,131857.0,435.0
2.173,8.508,0.425,0.872,-19.5,131867.0,272.0
3.145,8.385,0.728,0.945,-19.7,133324.0,128.0
2.097,8.26,0.627,0.886,-19.7,133415.0,114.0
2.354,8.657,0.367,0.869,-19.8,133998.0,363.0
3.632,5.992,0.831,0.811,19.8,134367.0,166.0
3.772,8.401,0.829,0.967,-19.9,134606.0,164.0
3.734,6.57,0.661,0.919,19.9,134673.0,138.0
3.173,8.085,0.646,0.853,-20.0,135617.0,92.0
3.291,7.988,0.767,0.846,-20.0,135623.0,117.0
3.736,5.593,0.352,0.856,20.1,136288.0,393.0
3.174,8.358,0.675,0.919,-20.2,136888.0,101.0
2.085,6.428,0.293,0.898,20.3,137354.0,474.0
3.699,6.496,0.656,0.91,20.3,137513.0,142.0
2.104,7.039,0.434,0.981,20.4,137985.0,237.0
3.49,5.997,0.95,0.81,20.4,137998.0,165.0
2.127,5.606,0.344,0.807,20.5,138547.0,437.0
2.304,6.142,1.076,0.825,20.5,139090.0,148.0
3.24,6.07,0.957,0.816,20.6,139447.0,153.0
3.219,6.83,0.235,0.991,20.7,140245.0,496.0
3.374,8.247,0.453,0.836,-20.8,140664.0,221.0
2.918,8.721,0.609,0.989,-20.8,140756.0,116.0
3.377,5.988,0.22,0.931,20.8,141136.0,513.0
2.114,8.351,1.038,0.965,-21.0,142303.0,233.0
3.946,8.233,0.986,0.927,-21.0,142447.0,209.0
3.939,7.88,1.164,0.839,-21.1,142574.0,236.0
2.35,8.213,1.033,0.918,-21.1,142675.0,226.0
2.24,6.092,0.644,0.834,21.1,142793.0,107.0
2.811,8.003,1.127,0.867,-21.1,142845.0,237.0
3.068,8.266,0.888,0.921,-21.1,143195.0,187.0
3.086,6.542,0.479,0.927,21.2,143222.0,228.0
3.895,7.94,0.527,0.803,-21.3,144239.0,155.0
3.253,8.988,0.31,0.887,-21.3,144255.0,439.0
2.026,8.242,0.685,0.874,-21.3,144503.0,112.0
3.325,6.239,0.623,0.873,21.4,144819.0,142.0
2.922,6.655,0.803,0.93,21.5,145368.0,111.0
3.497,4.937,0.274,0.834,21.5,145390.0,476.0
2.841,6.974,0.425,0.994,21.5,145509.0,258.0
3.125,6.0,1.12,0.81,21.6,146031.0,169.0
3.085,5.664,0.508,0.81,21.7,146913.0,265.0
2.822,8.643,0.609,0.955,-21.8,147582.0,119.0
3.565,6.055,0.418,0.891,21.8,147932.0,317.0
3.612,5.854,0.604,0.83,22.0,148910.0,198.0
2.593,6.694,0.404,0.949,22.0,149051.0,298.0
2.858,6.524,0.98,0.906,22.1,149491.0,134.0
3.197,6.297,1.167,0.863,22.2,150338.0,167.0
3.237,8.293,0.979,0.926,-22.3,151098.0,216.0
3.855,6.257,0.655,0.891,22.3,151214.0,168.0
3.995,6.403,0.607,0.925,22.4,151875.0,174.0
3.219,8.398,0.695,0.907,-22.7,154015.0,116.0
2.89,8.526,0.89,0.979,-22.8,154311.0,203.0
2.984,6.921,1.001,0.997,22.9,154984.0,136.0
3.243,9.154,0.449,0.993,-22.9,155223.0,180.0
2.06,7.927,1.197,0.827,-23.1,156385.0,250.0
3.826,5.779,0.633,0.831,23.2,156894.0,201.0
3.191,6.638,0.256,0.99,23.2,156980.0,470.0
3.553,6.002,0.314,0.924,23.2,157152.0,407.0
2.303,8.562,0.797,0.963,-23.3,157995.0,178.0
2.707,8.917,0.466,0.935,-23.5,158945.0,197.0
2.31,9.049,0.297,0.835,-23.6,159649.0,509.0
2.431,5.894,0.8,0.813,23.6,159924.0,133.0
3.018,8.408,0.95,0.938,-23.7,160219.0,216.0
3.369,5.394,0.492,0.804,23.7,160688.0,300.0
3.694,6.769,0.637,0.987,23.8,161363.0,140.0
2.739,8.661,0.599,0.928,-23.9,161494.0,131.0
3.539,4.905,0.361,0.809,23.9,161746.0,411.0
2.514,5.834,0.443,0.84,23.9,161915.0,302.0
3.849,8.42,0.972,0.945,-24.0,162257.0,218.0
2.373,8.536,0.723,0.928,-24.1,162872.0,148.0
3.707,8.501,0.938,0.963,-24.1,162885.0,214.0
3.093,5.312,0.414,0.808,24.1,163024.0,364.0
3.371,6.876,1.164,0.995,24.1,163184.0,174.0
3.426,5.464,0.483,0.818,24.2,163786.0,301.0
2.915,8.495,0.568,0.875,-24.2,163985.0,144.0
2.134,8.664,0.464,0.868,-24.2,164073.0,232.0
2.203,5.364,0.379,0.805,24.4,165328.0,397.0
3.195,9.684,0.288,0.932,-24.4,165403.0,464.0
3.487,6.018,0.611,0.868,24.5,165823.0,174.0
2.003,6.744,1.067,0.968,24.6,166490.0,150.0
2.402,8.673,0.607,0.925,-24.6,166595.0,137.0
3.631,5.964,1.103,0.826,24.7,167313.0,192.0
2.03,9.112,0.331,0.857,-24.8,167665.0,436.0
3.033,6.816,1.159,0.988,24.8,167887.0,172.0
2.406,6.819,1.033,0.99,24.8,168145.0,142.0
2.256,8.443,0.882,0.927,-24.8,168263.0,201.0
2.241,5.955,0.283,0.893,24.9,168840.0,488.0
3.697,6.594,0.712,0.96,25.0,169125.0,150.0
2.645,5.755,0.377,0.856,25.0,169126.0,377.0
3.0,8.868,0.423,0.885,-25.0,169304.0,250.0
3.268,8.642,0.332,0.809,-25.0,169377.0,428.0
3.824,8.098,0.771,0.824,-25.0,169482.0,119.0
3.351,4.126,0.207,0.838,25.0,169552.0,526.0
3.423,8.668,0.828,0.985,-25.1,170080.0,190.0
3.09,4.754,0.201,0.867,25.1,170096.0,552.0
3.911,5.157,0.261,0.909,25.3,170999.0,440.0
3.908,5.618,0.841,0.803,25.3,171190.0,218.0
2.648,5.689,0.443,0.838,25.3,171459.0,311.0
2.449,4.966,0.294,0.81,25.4,172192.0,503.0
