,ucmp,vcmp,geop,topog
181,144.93724,144.93724,144.944,144.944
182,144.95074,144.95074,144.9575,144.9575
183,144.96425,144.96425,144.97101,144.97101
184,144.97774,144.97774,144.9845,144.9845
185,144.99124,144.99124,144.998,144.998
186,145.00475,145.00475,145.0115,145.0115
187,145.01825,145.01825,145.02501,145.02501
188,145.03174,145.03174,145.0385,145.0385
189,145.04524,145.04524,145.052,145.052
190,145.05875,145.05875,145.0655,145.0655
191,145.07225,145.07225,145.07901,145.07901
192,145.08574,145.08574,145.0925,145.0925
193,145.09924,145.09924,145.106,145.106
194,145.11275,145.11275,145.1195,145.1195
195,145.12625,145.12625,145.13301,145.13301
196,145.13974,145.13974,145.1465,145.1465
197,145.15324,145.15324,145.16,145.16
198,145.16675,145.16675,145.17351,145.17351
199,145.18024,145.18024,145.187,145.187
200,145.19374,145.19374,145.2005,145.2005
201,145.20724,145.20724,145.214,145.214
202,145.22075,145.22075,145.22751,145.22751
203,145.23424,145.23424,145.241,145.241
204,145.24774,145.24774,145.2545,145.2545
205,145.26125,145.26125,145.268,145.268
206,145.27475,145.27475,145.28151,145.28151
207,145.28824,145.28824,145.295,145.295
208,145.30174,145.30174,145.3085,145.3085
209,145.31525,145.31525,145.322,145.322
210,145.32875,145.32875,145.33551,145.33551
211,145.34224,145.34224,145.349,145.349
212,145.35574,145.35574,145.3625,145.3625
213,145.36925,145.36925,145.376,145.376
214,145.38275,145.38275,145.38951,145.38951
215,145.39624,145.39624,145.403,145.403
216,145.40974,145.40974,145.4165,145.4165
217,145.42325,145.42325,145.43001,145.43001
218,145.43674,145.43674,145.4435,145.4435
219,145.45024,145.45024,145.457,145.457
220,145.46375,145.46375,145.4705,145.4705
221,145.47725,145.47725,145.48401,145.48401
222,145.49074,145.49074,145.4975,145.4975
223,145.50424,145.50424,145.511,145.511
224,145.51775,145.51775,145.5245,145.5245
225,145.53125,145.53125,145.53801,145.53801
226,145.54474,145.54474,145.5515,145.5515
227,145.55824,145.55824,145.565,145.565
228,145.57175,145.57175,145.5785,145.5785
229,145.58525,145.58525,145.59201,145.59201
230,145.59874,145.59874,145.6055,145.6055
231,145.61224,145.61224,145.619,145.619
232,145.62575,145.62575,145.6325,145.6325
233,145.63925,145.63925,145.646,145.646
234,145.65274,145.65274,145.6595,145.6595
235,145.66624,145.66624,145.673,145.673
236,145.67975,145.67975,145.68651,145.68651
237,145.69324,145.69324,145.7,145.7
238,145.70674,145.70674,145.7135,145.7135
239,145.72025,145.72025,145.727,145.727
240,145.73375,145.73375,145.74051,145.74051
241,145.74724,145.74724,145.754,145.754
242,145.76074,145.76074,145.7675,145.7675
243,145.77425,145.77425,145.781,145.781
244,145.78775,145.78775,145.79451,145.79451
245,145.80124,145.80124,145.808,145.808
246,145.81474,145.81474,145.8215,145.8215
247,145.82825,145.82825,145.835,145.835
248,145.84175,145.84175,145.84851,145.84851
249,145.85524,145.85524,145.862,145.862
250,145.86874,145.86874,145.8755,145.8755
251,145.88225,145.88225,145.889,145.889
252,145.89574,145.89574,145.9025,145.9025
253,145.90924,145.90924,145.916,145.916
254,145.92274,145.92274,145.9295,145.9295
255,145.93625,145.93625,145.94301,145.94301
256,145.94974,145.94974,145.9565,145.9565
257,145.96324,145.96324,145.97,145.97
258,145.97675,145.97675,145.9835,145.9835
259,145.99025,145.99025,145.99701,145.99701
260,146.00374,146.00374,146.0105,146.0105
261,146.01724,146.01724,146.024,146.024
262,146.03075,146.03075,146.0375,146.0375
263,146.04425,146.04425,146.05101,146.05101
264,146.05774,146.05774,146.0645,146.0645
265,146.07124,146.07124,146.078,146.078
266,146.08475,146.08475,146.0915,146.0915
267,146.09825,146.09825,146.10501,146.10501
268,146.11174,146.11174,146.1185,146.1185
269,146.12524,146.12524,146.132,146.132
270,146.13875,146.13875,146.14551,146.14551
271,146.15224,146.15224,146.159,146.159
272,146.16574,146.16574,146.1725,146.1725
273,146.17924,146.17924,146.186,146.186
274,146.19275,146.19275,146.19951,146.19951
275,146.20624,146.20624,146.213,146.213
276,146.21974,146.21974,146.2265,146.2265
277,146.23325,146.23325,146.24,146.24
278,146.24675,146.24675,146.25351,146.25351
279,146.26024,146.26024,146.267,146.267
280,146.27374,146.27374,146.2805,146.2805
281,146.28725,146.28725,146.294,146.294
282,146.30075,146.30075,146.30751,146.30751
283,146.31424,146.31424,146.321,146.321
284,146.32774,146.32774,146.3345,146.3345
285,146.34125,146.34125,146.348,146.348
286,146.35474,146.35474,146.36151,146.36151
287,146.36824,146.36824,146.375,146.375
288,146.38174,146.38174,146.3885,146.3885
289,146.39525,146.39525,146.40201,146.40201
290,146.40874,146.40874,146.4155,146.4155
291,146.42224,146.42224,146.429,146.429
292,146.43575,146.43575,146.4425,146.4425
293,146.44925,146.44925,146.45601,146.45601
294,146.46274,146.46274,146.4695,146.4695
295,146.47624,146.47624,146.483,146.483
296,146.48975,146.48975,146.4965,146.4965
297,146.50325,146.50325,146.51001,146.51001
298,146.51674,146.51674,146.5235,146.5235
299,146.53024,146.53024,146.537,146.537
300,146.54375,146.54375,146.5505,146.5505
301,146.55725,146.55725,146.56401,146.56401
302,146.57074,146.57074,146.5775,146.5775
303,146.58424,146.58424,146.591,146.591
304,146.59775,146.59775,146.6045,146.6045
305,146.61124,146.61124,146.61801,146.61801
306,146.62474,146.62474,146.6315,146.6315
307,146.63824,146.63824,146.645,146.645
308,146.65175,146.65175,146.65851,146.65851
309,146.66524,146.66524,146.672,146.672
310,146.67874,146.67874,146.6855,146.6855
311,146.69225,146.69225,146.699,146.699
312,146.70575,146.70575,146.71251,146.71251
313,146.71924,146.71924,146.726,146.726
314,146.73274,146.73274,146.7395,146.7395
315,146.74625,146.74625,146.753,146.753
316,146.75975,146.75975,146.76651,146.76651
317,146.77324,146.77324,146.78,146.78
318,146.78674,146.78674,146.7935,146.7935
319,146.80025,146.80025,146.807,146.807
320,146.81375,146.81375,146.82051,146.82051
321,146.82724,146.82724,146.834,146.834
322,146.84074,146.84074,146.8475,146.8475
323,146.85425,146.85425,146.86101,146.86101
324,146.86774,146.86774,146.8745,146.8745
325,146.88124,146.88124,146.888,146.888
326,146.89474,146.89474,146.9015,146.9015
327,146.90825,146.90825,146.91501,146.91501
328,146.92174,146.92174,146.9285,146.9285
329,146.93524,146.93524,146.942,146.942
330,146.94875,146.94875,146.9555,146.9555
331,146.96225,146.96225,146.96901,146.96901
332,146.97574,146.97574,146.9825,146.9825
333,146.98924,146.98924,146.996,146.996
334,147.00275,147.00275,147.0095,147.0095
335,147.01625,147.01625,147.02301,147.02301
336,147.02974,147.02974,147.0365,147.0365
337,147.04324,147.04324,147.05,147.05
338,147.05675,147.05675,147.0635,147.0635
339,147.07025,147.07025,147.077,147.077
340,147.08374,147.08374,147.0905,147.0905
341,147.09724,147.09724,147.104,147.104
342,147.11075,147.11075,147.11751,147.11751
343,147.12424,147.12424,147.131,147.131
344,147.13774,147.13774,147.1445,147.1445
345,147.15125,147.15125,147.158,147.158
346,147.16475,147.16475,147.17151,147.17151
347,147.17824,147.17824,147.185,147.185
348,147.19174,147.19174,147.1985,147.1985
349,147.20525,147.20525,147.212,147.212
350,147.21875,147.21875,147.22551,147.22551
351,147.23224,147.23224,147.239,147.239
352,147.24574,147.24574,147.2525,147.2525
353,147.25925,147.25925,147.266,147.266
354,147.27275,147.27275,147.27951,147.27951
355,147.28624,147.28624,147.293,147.293
356,147.29974,147.29974,147.3065,147.3065
357,147.31325,147.31325,147.32,147.32
